artist,tempo,,,
3 Doors Down,143.69900000000001,,,
A Ghost Devotion,137.97300000000001,,,
Abbott & Chambers,129.95599999999999,,,
Akon / Kardinal Offishall,100.364,,,
Alceu Valença,121.988,,,
All Shall Persih,99.962999999999994,,,
Ann Hampton Callaway;Laura Benanti;Michael Gruber;Everett Bradley,194.03899999999999,,,
Anna Meliti,89.021000000000001,,,
Archie Bell and The Drells,100.922,,,
Arsonists Get All The Girls,129.82400000000001,,,
Bangalafumenga,77.409999999999997,,,
Bare Jr.,91.972999999999999,,,
Beenie Man,95.697000000000003,,,
Billie Jo Spears,119.053,,,
Bob Margolin,108.496,,,
Bob Newhart,133.721,,,
Bob Willis,121.923,,,
Bobby Hutcherson,86.445999999999998,,,
Boondox,200.00399999999999,,,
Bounty Killer,159.798,,,
Chris Brown,89.965999999999994,,,
Chris Eaton,100.771,,,
Cutting Edge,145.077,,,
Daath,123.033,,,
Darwin Hobbs,111.417,,,
"Dave ""Baby"" Cortez",185.559,,,
Dave And Ansel Collins,117.157,,,
Dave Brockie Experience,99.959000000000003,,,
David Rose & His Orchestra,84.688000000000002,,,
David Summers,132.858,,,
Deborah Coleman,127.122,,,
Eddie Turner,91.084000000000003,,,
Eko Fresh feat. G-Style,93.203000000000003,,,
Emilio Tuero,140.35400000000001,,,
Firehouse,109.99299999999999,,,
Four Tet,124.04300000000001,,,
Frederic Galliano,81.983000000000004,,,
George Michael,127.84399999999999,,,
Ginny Owens,120.16800000000001,,,
Guaco,169.131,,,
Henri Pousseur,89.466999999999999,,,
Huey Dunbar,98.998000000000005,,,
Jack Johnson,241.81800000000001,,,
Jack Johnson,141.25700000000001,,,
Jack Off Jill,156.804,,,
Jaime Jamgochian,151.93899999999999,,,
Joi,120.006,,,
Jope Ruonansuu,111.004,,,
Julio Iglesias Jr,150.071,,,
Justo Almario,216.55699999999999,,,
Kali,138.048,,,
Lee Ritenour,148.87899999999999,,,
Less Than Jake,170.41200000000001,,,
Lester Bowie,94.775999999999996,,,
Light Of The World,120.444,,,
LORE,125.98399999999999,,,
Lyrics Born,170.047,,,
Ma Rainey,99.075999999999993,,,
Madonna,129.97399999999999,,,
Mannheim Steamroller,154.69499999999999,,,
Markus,130.023,,,
Michael Card,93.542000000000002,,,
Michael Salgado,206.637,,,
Mike Bloomfield,167.553,,,
Mix Mob,187.28399999999999,,,
My Chemical Romance,93,,,
Natural Elements,107.92700000000001,,,
Nicholas Hooper,155.65899999999999,,,
Obie Bermudez,109.23,,,
Out Of The Grey,153.642,,,
Papa Wemba,170.96600000000001,,,
Pascal Obispo,130.05699999999999,,,
Pery Ribeiro,107.60599999999999,,,
R.E.M.,138.703,,,
R.E.M.,107.55,,,
Rajery,132.666,,,
Raze,108.831,,,
Regina Belle,67.745000000000005,,,
Rihanna,85.975999999999999,,,
Rita Chiarelli,89.918999999999997,,,
Sandy Lam,125.251,,,
Sivuca,224.24700000000001,,,
Space Opera,95.736000000000004,,,
T-Bone,96.007000000000005,,,
Taking Back Sunday,165.14500000000001,,,
The Cure,165.303,,,
The Florida Boys,70.286000000000001,,,
The Fureys,117.84999999999999,,,
The Ghost Of Lemora,136.88999999999999,,,
The Misfits,111.15300000000001,,,
The Motors,154.167,,,
The Mustangs,117.044,,,
The Perrys,111.959,,,
Tiny Tim,117.236,,,
Tiny Tim,105.84999999999999,,,
Ultraviolence,210.47,,,
Vorstadtkinder,179.81999999999999,,,
Wailing Souls,130.42699999999999,,,
We Show Up On Radar,80.028999999999996,,,
Yuppie Pricks,155.12700000000001,,,
