92.197999999999993,1,Casual,I Didn't Mean To,hip hop
121.274,6,The Box Tops,Soul Deep,pop
100.06999999999999,8,Sonora Santanera,Amor De Cabaret,latin
119.29300000000001,0,Adam Ant,Something Girls,new wave
129.738,2,Gob,Face the Ashes,punk
147.78200000000001,5,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),southern gospel
111.78700000000001,1,Rated R,Keepin It Real (Skit),r&b
86.643000000000001,4,Planet P Project,Pink World,rock
114.041,7,Clp,Insatiable (Instrumental Version),hip hop
146.76499999999999,5,JennyAnyKind,Young Boy Blues,rock
117.97499999999999,7,Wayne Watson,The Urgency (LP Version),christian
130.03999999999999,9,Andy Andy,La Culpa,bachata
137.334,10,Bob Azzam,Auguri Cha Cha,70s
125.197,3,Lionel Richie,Tonight Will Be Alright,pop
119.82599999999999,7,Blue Rodeo,Floating,rock
127.756,8,Richard Souther,High Tide,new age
99.272999999999996,6,Faiz Ali Faiz,Sohna Nee Sohna Data,world music
150.06200000000001,7,Tesla,Caught In A Dream,rock
138.33099999999999,7,lextrical,Synthetic Dream,indietronica
86.186000000000007,1,Jimmy Wakely,Broken-Down Merry-Go-Round,country
110.38200000000001,11,Alice Stuart,Kassie Jones,blues
111.874,2,Elena,Setanta matins,pop
166.86199999999999,7,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,metal
137.52199999999999,10,SUE THOMPSON,James (Hold The Ladder Steady),country
164.672,7,Five Bolt Main,Made Like This (Live),rock
125.006,6,Clp,Superconfidential,hip hop
90.022000000000006,5,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),comedy
127.02500000000001,8,Willie Bobo,Spanish Grease,latin jazz
95.956999999999994,8,Faye Adams,Crazy Mixed Up World,blues
110.18899999999999,6,Terry Callier,Do You Finally Need A Friend,soul
138.00700000000001,4,John Wesley,The Emperor Falls,alternative
130.09999999999999,10,The Shangri-Las,Twist and Shout,pop
160.839,4,Billie Jo Spears,It Makes No Difference Now,country
189.64599999999999,9,Sierra Maestra,¿Dónde va Chichi?,70s
130.58600000000001,4,Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",alternative
128.292,8,Despina Vandi,OUTE ENA EFHARISTO,pop
90.932000000000002,3,Javier Navarrete,Midnight Swim,soundtrack
89.667000000000002,1,Jacob Young,In A Subtle Way,jazz
115.06100000000001,7,Scarlet's Remains,Spin,gothic
115.887,2,The Suicide Machines,Burning In The Aftermath,punk
139.333,9,The Rolling Stones,Angie (1993 Digital Remaster),rock
117.271,0,Roberto Torres,Sabor Guajiro,latin
102.428,3,Loudon Wainwright III,Human Cannonball,folk
89.983999999999995,2,R.L. Burnside,Glory Be,blues
116.721,1,Stevie Ray Vaughan,Crossfire,blues
123.142,7,John Hammond,I Can't Be Satisfied,blues
141.91900000000001,0,Casiotone For The Painfully Alone,Nashville Parthenon,lo-fi
95.596000000000004,10,Ec8or,Cocain Ducks,digital hardcore
154.953,11,The New York Dolls,Human Being,rock
86.090999999999994,7,Eliane Elias,The More I See You,jazz
90.218000000000004,7,Lost Boyz,Certain Things We Do,hip hop
133.14400000000001,11,The Germs,Forming,punk
205.31700000000001,2,Yamandu Costa,Mafuá,brazilian pop music
180.149,9,Chris Rea,Driving Home For Christmas,rock
102.538,0,Perrey And Kingsley,Spooks In Space,electronic
84.164000000000001,0,Eurythmics,Tous Les Garçons Et Les Filles,pop
124.175,7,Francis Dunnery,Too Much Saturn,rock
137.00399999999999,7,John Cale,Movement 4 [from Kiss] (Album Version),rock
106.33,7,Suzanne Ciani,Stream,new age
107.961,11,Vickie Winans,Make Me Over,gospel
174.28700000000001,1,The Berzerker,Deform (live),grindcore
116.82299999999999,0,Kings Of Leon,Wicker Chair,rock
101.97199999999999,0,Edith Lefel,An ti chans',zouk
127.97,11,Taras,I Will Love Again (JJ's Club Radio),dance
152.62200000000001,4,NOFX,Stickin In My Eye,punk
110.78700000000001,7,Murskahumppa,Ota kiinni,punk
112.90300000000001,7,Soda Stereo,Entre Caníbales,rock
115.642,7,Bruce Rowland,Rosemary Recalls,soundtrack
125.01300000000001,1,Xcultures,Sudanese Dance,ethnic fusion
113.277,5,White Heart,Where The Thunder Roars (Tales Of Wonder Album Version),christian rock
96.978999999999999,5,Heavy D / McGruff,Wanna Be A Player,hip hop
140.995,8,Van Halen,Panama (Remastered Album Version),rock
105.206,11,Black Eyed Peas,Let's Get It Started,pop
63.017000000000003,0,Nine Inch Nails,Metal,industrial
144.60300000000001,9,Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),post-punk
167.91999999999999,2,Nadine Renee,Next Time,pop
129.12200000000001,9,Lesley Gore,It's My Party,pop
132.02199999999999,0,Smartbomb,Complicate It,punk
183.91999999999999,1,Suburbs,Monde De Fou,rock
89.867000000000004,9,Emperor,Opus a Satana (Part 2),black metal
119.896,2,Julien Clerc,This Melody (Live),french pop
137.28999999999999,1,Glen Campbell,I'm Gone This Time,country
82.343000000000004,5,T.G. Sheppard,You Feel Good All Over,country
91.486999999999995,3,Slim Whitman,Indian Love Call,country
84.689999999999998,9,Savage Garden,You Can Still Be Free,pop
115.60599999999999,2,Queens Of The Stone Age,I Never Came,rock
